2024-10-24 04:08:09 - System Idle Process (PID: 0) - CPU: 742.0%, MEM: 4.816286368681424e-05%
2024-10-24 04:09:09 - System Idle Process (PID: 0) - CPU: 747.1%, MEM: 4.816286368681424e-05%
2024-10-24 04:10:59 - System Idle Process (PID: 0) - CPU: 756.2%, MEM: 4.816286368681424e-05%
2024-10-24 04:12:00 - System Idle Process (PID: 0) - CPU: 716.1%, MEM: 4.816286368681424e-05%
2024-10-24 04:13:00 - System Idle Process (PID: 0) - CPU: 744.2%, MEM: 4.816286368681424e-05%
2024-10-24 04:14:01 - System Idle Process (PID: 0) - CPU: 746.5%, MEM: 4.816286368681424e-05%
2024-10-24 04:15:01 - System Idle Process (PID: 0) - CPU: 763.6%, MEM: 4.816286368681424e-05%
2024-10-24 04:16:02 - System Idle Process (PID: 0) - CPU: 755.2%, MEM: 4.816286368681424e-05%
2024-10-24 04:17:02 - System Idle Process (PID: 0) - CPU: 742.1%, MEM: 4.816286368681424e-05%
2024-10-24 04:18:03 - System Idle Process (PID: 0) - CPU: 759.2%, MEM: 4.816286368681424e-05%
2024-10-24 04:19:03 - System Idle Process (PID: 0) - CPU: 758.4%, MEM: 4.816286368681424e-05%
2024-10-24 05:43:16 - System Idle Process (PID: 0) - CPU: 722.5%, MEM: 4.816286368681424e-05%
2024-10-24 05:44:16 - System Idle Process (PID: 0) - CPU: 758.3%, MEM: 4.816286368681424e-05%
2024-10-24 05:45:17 - System Idle Process (PID: 0) - CPU: 759.2%, MEM: 4.816286368681424e-05%
2024-10-24 05:46:17 - System Idle Process (PID: 0) - CPU: 770.4%, MEM: 4.816286368681424e-05%
2024-10-24 06:21:39 - System Idle Process (PID: 0) - CPU: 674.6%, MEM: 4.816286368681424e-05%
2024-10-24 06:27:40 - System Idle Process (PID: 0) - CPU: 100.0%, MEM: 4.816286368681424e-05%
2024-10-24 06:46:09 - System Idle Process (PID: 0) - CPU: 703.5%, MEM: 4.816286368681424e-05%
2024-10-24 06:47:09 - System Idle Process (PID: 0) - CPU: 743.3%, MEM: 4.816286368681424e-05%
2024-10-24 06:48:10 - System Idle Process (PID: 0) - CPU: 740.8%, MEM: 4.816286368681424e-05%
2024-10-24 06:49:11 - System Idle Process (PID: 0) - CPU: 719.8%, MEM: 4.816286368681424e-05%
2024-10-24 06:50:11 - System Idle Process (PID: 0) - CPU: 734.6%, MEM: 4.816286368681424e-05%
2024-10-24 06:51:12 - System Idle Process (PID: 0) - CPU: 754.3%, MEM: 4.816286368681424e-05%
2024-10-24 06:52:13 - System Idle Process (PID: 0) - CPU: 745.9%, MEM: 4.816286368681424e-05%
2024-10-24 06:53:13 - System Idle Process (PID: 0) - CPU: 729.8%, MEM: 4.816286368681424e-05%
2024-10-24 06:54:14 - System Idle Process (PID: 0) - CPU: 688.3%, MEM: 4.816286368681424e-05%
2024-10-24 06:55:15 - System Idle Process (PID: 0) - CPU: 727.6%, MEM: 4.816286368681424e-05%
2024-10-24 06:56:15 - System Idle Process (PID: 0) - CPU: 736.9%, MEM: 4.816286368681424e-05%
2024-10-24 06:57:16 - System Idle Process (PID: 0) - CPU: 736.6%, MEM: 4.816286368681424e-05%
2024-10-24 06:58:17 - System Idle Process (PID: 0) - CPU: 737.8%, MEM: 4.816286368681424e-05%
2024-10-24 06:59:17 - System Idle Process (PID: 0) - CPU: 736.8%, MEM: 4.816286368681424e-05%
2024-10-24 07:00:18 - System Idle Process (PID: 0) - CPU: 751.4%, MEM: 4.816286368681424e-05%
2024-10-24 07:01:18 - System Idle Process (PID: 0) - CPU: 753.7%, MEM: 4.816286368681424e-05%
2024-10-24 07:02:19 - System Idle Process (PID: 0) - CPU: 732.1%, MEM: 4.816286368681424e-05%
2024-10-24 07:14:04 - System Idle Process (PID: 0) - CPU: 643.1%, MEM: 4.816286368681424e-05%
2024-10-24 07:15:05 - System Idle Process (PID: 0) - CPU: 599.9%, MEM: 4.816286368681424e-05%
2024-10-24 07:15:05 - WhatsApp.exe (PID: 8736) - CPU: 126.9%, MEM: 1.6445932248818023%
2024-10-24 07:16:06 - System Idle Process (PID: 0) - CPU: 566.0%, MEM: 4.816286368681424e-05%
2024-10-24 07:16:06 - WhatsApp.exe (PID: 8736) - CPU: 100.4%, MEM: 1.644761794904706%
2024-10-24 07:17:06 - System Idle Process (PID: 0) - CPU: 589.8%, MEM: 4.816286368681424e-05%
2024-10-24 07:18:07 - System Idle Process (PID: 0) - CPU: 706.3%, MEM: 4.816286368681424e-05%
2024-10-24 07:19:08 - System Idle Process (PID: 0) - CPU: 731.9%, MEM: 4.816286368681424e-05%
2024-10-24 07:20:09 - System Idle Process (PID: 0) - CPU: 736.0%, MEM: 4.816286368681424e-05%
2024-10-24 07:21:09 - System Idle Process (PID: 0) - CPU: 737.1%, MEM: 4.816286368681424e-05%
2024-10-24 07:22:10 - System Idle Process (PID: 0) - CPU: 756.2%, MEM: 4.816286368681424e-05%
2024-10-24 07:23:11 - System Idle Process (PID: 0) - CPU: 661.3%, MEM: 4.816286368681424e-05%
2024-10-24 07:24:11 - System Idle Process (PID: 0) - CPU: 695.0%, MEM: 4.816286368681424e-05%
2024-10-24 07:25:12 - System Idle Process (PID: 0) - CPU: 686.1%, MEM: 4.816286368681424e-05%
2024-10-24 07:26:13 - System Idle Process (PID: 0) - CPU: 712.5%, MEM: 4.816286368681424e-05%
2024-10-24 07:27:13 - System Idle Process (PID: 0) - CPU: 723.7%, MEM: 4.816286368681424e-05%
